elvenavn,nedborfeltVassdragNr,nivaa,elvelengde,vassdragsomrade,fluvial_length,fluvial_n,glacial_length,glacial_n,fluvial_perc,glacial_perc,centroid_x,centroid_y,i,fylke1,fylke1_km,fylke2,fylke2_km,fylke3,fylke3_km
Leira,002.CAZ,3a,101037.75645893,002,15484.0487693309,1,NA,NA,15.3,NA,10.948239873606823,60.191544368212774,44,Akershus,83,Innlandet,18,-,0
Sagelva-Fjellhammarelva,002.CBZ,3a,24940.0258567,002,382.72659000039,1,NA,NA,1.5,NA,10.942487464213757,59.900040380089294,303,Akershus,15,Oslo,12,-,0
Nitelva,002.CZ,2a,71273.58068835,002,8291.37550245904,1,NA,NA,11.6,NA,10.845647685879326,60.08675077642263,304,Akershus,71,-,0,-,0
Tromsa,002.DEZ,3a,35182.60112784,002,965.177366502336,1,NA,NA,2.7,NA,10.439663930271276,61.449753419780976,45,Innlandet,35,-,0,-,0
Vinstra,002.DFZ,3a,128015.87534351,002,NA,NA,10423.2332709176,1,NA,8.1,9.034852256889884,61.411361103141,46,Innlandet,128,-,0,-,0
Sjoa,002.DGZ,3a,106856.68127228,002,NA,NA,8258.66343778432,1,NA,7.7,8.920530708619927,61.59639848285291,47,Innlandet,106,Vestland,0,-,0
Otta,002.DHZ,3a,148709.06134198,002,NA,NA,2250.8093080109,1,NA,1.5,8.397221398913535,61.90786745426601,48,Innlandet,141,Møre og Romsdal,6,-,0
Jora,002.DJZ,3a,48554.86584117,002,1592.56647607359,1,NA,NA,3.3,NA,9.011980876707938,62.21078467658353,49,Innlandet,48,-,0,-,0
Lora,002.DKZ,3a,41504.07555702,002,NA,NA,2221.4009786843,1,NA,5.4,8.368877374024928,62.06268455344618,50,Innlandet,41,-,0,-,0
Vorma-Lågen,002.DZ,2a,348073.12036504,002,62789.6908104221,4,10755.729117086,2,18,3.1,10.141605127651518,61.305294315671865,51,Innlandet,301,Akershus,47,-,0
Dyståa,002.E4Z,3a,12882.48580313,002,1037.91531530371,1,NA,NA,8.1,NA,11.589070952417549,60.239140738535866,52,Innlandet,8,Akershus,4,-,0
Sæteråa,002.E5Z,3a,24308.28531471,002,510.196546670175,1,NA,NA,2.1,NA,11.70713094948889,60.154975113929034,53,Innlandet,24,-,0,-,0
Sloa,002.F2Z,3a,18010.86250072,002,458.343604348989,1,NA,NA,2.5,NA,11.768778997387356,60.2949991562664,54,Innlandet,18,-,0,-,0
Vingersnoret,002.F3Z,3a,22034.3520397,002,5288.85733698445,1,NA,NA,24,NA,12.123988398577522,60.18080764366984,55,Innlandet,22,-,0,-,0
Agnåa,002.F6Z,3a,28550.14248849,002,2728.98823788049,1,NA,NA,9.6,NA,11.919672425730555,60.40858543990117,56,Innlandet,28,-,0,-,0
Skasåa,002.FZ,2a,53994.84586749,002,2008.22095756974,1,4208.01753953685,1,3.7,7.8,12.213499475795233,60.33850959535594,57,Innlandet,54,-,0,-,0
Tjuråa,002.G1Z,3a,20328.77429387,002,4620.00422102783,1,NA,NA,22.7,NA,12.142260842750298,60.44154731455498,58,Innlandet,20,-,0,-,0
Domma,002.G2Z,3a,18009.97020471,002,5113.28672791471,1,5277.35792459645,1,28.4,29.3,11.958578560104833,60.43296012881259,59,Innlandet,18,-,0,-,0
Namnåa,002.G3Z,3a,25627.18027001,002,4739.33084590035,2,NA,NA,18.5,NA,12.15625867790489,60.53335473018568,60,Innlandet,26,-,0,-,0
Auståa,002.G6Z,3a,41971.45783232,002,7992.7582838576,1,2700.10756062597,1,19,6.4,11.84699333838544,60.5571847110502,61,Innlandet,42,-,0,-,0
Vermundsåa,002.GAZ,3a,44977.11056007,002,NA,NA,1648.10783075244,1,NA,3.7,12.518854294626351,60.72655488835777,62,Innlandet,10,-,0,-,0
Kynna,002.GBZ,3a,49918.45754175,002,NA,NA,31263.8767574121,2,NA,62.6,12.027600498423599,60.83973015681077,63,Innlandet,50,-,0,-,0
Halåa,002.GCZ,3a,46426.53630979,002,NA,NA,1067.40940829262,1,NA,2.3,12.224409495113676,60.966383020385166,64,Innlandet,31,-,0,-,0
Flisa,002.GZ,2a,126764.71529266,002,5969.83515535611,1,38382.6855533093,1,4.7,30.3,12.075079144480174,60.86320920226291,65,Innlandet,126,-,0,-,0
Hasla,002.H1Z,3a,40403.18510442,002,3954.46209022794,1,19521.0655818125,1,9.8,48.3,11.909333668741953,60.709081256462596,66,Innlandet,40,-,0,-,0
Tverråa,002.H2Z,3a,18742.2982535,002,2334.28188731424,1,1949.10592972667,1,12.5,10.4,11.824960735700552,60.61101787370332,67,Innlandet,19,-,0,-,0
Jømna,002.H3Z,3a,34059.31227679,002,2929.96327372517,1,NA,NA,8.6,NA,11.689633323642923,60.89182387068007,68,Innlandet,34,-,0,-,0
Bronkåa,002.H4Z,3a,23711.62660864,002,3238.77845757862,1,NA,NA,13.7,NA,11.651567409717769,60.71315127751129,69,Innlandet,24,-,0,-,0
Terninga,002.H6Z,3a,22426.73527191,002,2157.06967585976,1,4830.5863257936,1,9.6,21.5,11.452970933731267,60.88278920976659,70,Innlandet,22,-,0,-,0
Letjerna,002.H7Z,3a,13741.19354852,002,1693.56225715781,1,234.447860223328,1,12.3,1.7,11.524184478885072,61.026688481745595,71,Innlandet,14,-,0,-,0
Øksna,002.H8Z,3a,21395.60838574,002,892.245973117071,1,NA,NA,4.2,NA,11.355907511329619,60.97975694716842,72,Innlandet,21,-,0,-,0
Åsta,002.HZ,2a,73103.25617767,002,1086.34549022285,1,NA,NA,1.5,NA,10.902541718788125,61.21407873117367,73,Innlandet,73,-,0,-,0
Julussa,002.JAZ,3a,46953.43052513,002,NA,NA,21011.7258439751,1,NA,44.8,11.630613772602233,61.06614342338625,74,Innlandet,47,-,0,-,0
Osa,002.JBZ,3a,91302.71477217,002,NA,NA,7873.45036306288,2,NA,8.6,11.678460579677582,61.437290119321744,75,Innlandet,91,-,0,-,0
Mistra,002.JDZ,3a,71064.13992096,002,NA,NA,696.775652861951,1,NA,1,11.359483656420483,61.8693864762787,76,Innlandet,71,-,0,-,0
Tysla,002.JEZ,3a,45129.55607772,002,9795.94073555326,1,3779.29542787118,2,21.7,8.4,10.891076956845366,62.04755316024549,77,Innlandet,45,-,0,-,0
Rena,002.JZ,2a,151046.68198581,002,21157.4102229456,2,27439.1536829049,4,14,18.2,11.206520655706491,61.708021612883726,78,Innlandet,151,-,0,-,0
Ygla,002.K1Z,3a,14452.47733656,002,1696.30339683193,1,899.181421192071,1,11.7,6.2,11.411984188786507,61.19604421252478,79,Innlandet,14,-,0,-,0
Hovda,002.K2Z,3a,24957.87386898,002,820.685661294465,1,167.315587104244,1,3.3,0.7,11.20288313116392,61.23278684894426,80,Innlandet,25,-,0,-,0
Neta,002.K3Z,3a,20511.83274228,002,1861.43402620081,1,NA,NA,9.1,NA,11.20746843961791,61.430448256618945,81,Innlandet,20,-,0,-,0
Søkkunda,002.K6Z,3a,22589.96423466,002,2267.06156553588,1,NA,NA,10,NA,11.043599032580063,61.33993331306375,82,Innlandet,23,-,0,-,0
Eldåa,002.KAZ,3a,27307.0856562,002,853.93918286107,1,NA,NA,3.1,NA,10.784823090300984,61.44676466761719,83,Innlandet,27,-,0,-,0
Imsa,002.KZ,2a,42717.41201712,002,6333.09416642991,1,3692.00062959355,1,14.8,8.6,10.7506889156296,61.54029190571362,84,Innlandet,43,-,0,-,0
Trya,002.L2Z,3a,25401.31742941,002,4203.67559860315,1,331.974354455661,1,16.5,1.3,10.881947896151845,61.580567113857754,85,Innlandet,25,-,0,-,0
Tresa,002.L3Z,3a,20491.62434216,002,1869.91553327931,1,1831.72559337351,1,9.1,8.9,11.001284437451442,61.661783806744815,86,Innlandet,20,-,0,-,0
Søre bjøråa,002.L4Z,3a,18288.38997619,002,821.53874412361,1,NA,NA,4.5,NA,10.75716776772974,61.64641077926798,87,Innlandet,18,-,0,-,0
Nordre bjøråa,002.L6Z,3a,22622.28039658,002,753.616851203292,1,NA,NA,3.3,NA,10.758245565662056,61.675053076997294,88,Innlandet,23,-,0,-,0
Atna,002.LZ,2a,103477.66071242,002,NA,NA,5481.91041423795,1,NA,5.3,10.187801396747943,61.893444634547244,89,Innlandet,103,-,0,-,0
Tegninga,002.M4Z,3a,23407.23456667,002,NA,NA,2350.50652313814,1,NA,10,10.733528769164614,61.91547734372694,90,Innlandet,23,-,0,-,0
Auma,002.M8Z,3a,26276.04027867,002,788.720897267846,1,NA,NA,3,NA,10.591375701102127,62.019811117028155,91,Innlandet,26,-,0,-,0
Sølna,002.MAZ,3a,54785.10567456,002,2117.52369647597,1,2207.71468578813,1,3.9,4,10.320551898545167,62.01357357747842,92,Innlandet,55,-,0,-,0
Grimsa,002.MDZ,3a,65412.20762703,002,NA,NA,8682.25954684397,1,NA,13.3,9.799620628075983,62.06961243369871,93,Innlandet,65,-,0,-,0
Kvita,002.MEZ,3a,18365.76297968,002,NA,NA,9870.51462761334,1,NA,53.7,9.737835895894367,62.24296962560726,94,Innlandet,17,Trøndelag,1,-,0
Folla,002.MZ,2a,114366.2252426,002,7730.63502621752,1,2375.36338593635,2,6.8,2.1,9.900937956811138,62.15873332288562,95,Innlandet,114,-,0,-,0
Sivilla,002.N2Z,3a,31057.25822301,002,296.293246401997,1,NA,NA,1,NA,10.506245090359911,62.26649279107199,96,Innlandet,31,-,0,-,0
Auma,002.N3Z,3a,17354.41102039,002,1297.36638754271,1,4407.53032222763,1,7.5,25.4,10.783508573963664,62.21472121159089,97,Innlandet,17,-,0,-,0
Lona,002.NAZ,3a,40333.7759217,002,NA,NA,15891.0995071385,1,NA,39.4,10.750992498761242,62.473780923675065,98,Innlandet,40,-,0,-,0
Tunna,002.NZ,2a,54022.82951327,002,4442.73623669693,1,954.439218308406,2,8.2,1.8,10.541784923489558,62.384754661945976,99,Innlandet,54,-,0,-,0
Stortela,002.P1Z,3a,29139.58749964,002,1284.36490772068,1,3725.75725616278,1,4.4,12.8,11.004642406087255,62.30752148133202,100,Innlandet,29,-,0,-,0
Tolga,002.P4Z,3a,15601.24218589,002,NA,NA,2313.44763160829,1,NA,14.8,10.954525615577204,62.44710933565132,101,Innlandet,16,-,0,-,0
Hangåa,002.PAZ,3a,22124.62668327,002,NA,NA,2374.70370183665,1,NA,10.7,11.091858792911388,62.613348275225924,102,Innlandet,19,Trøndelag,3,-,0
Vangrøfta,002.PZ,2a,42117.59113505,002,NA,NA,2510.31540197242,1,NA,6,10.968895523922113,62.57446308252699,103,Innlandet,41,Trøndelag,1,-,0
Nøra,002.Q1Z,3a,45156.72817387,002,NA,NA,12181.2864996693,1,NA,27,11.475062580885986,62.37154311338867,104,Innlandet,45,-,0,-,0
Hitteråa,002.QAZ,3a,32983.74196579,002,NA,NA,95.9837233664093,1,NA,0.3,11.563688326869476,62.579711926329935,220,Trøndelag,33,-,0,-,0
Håelva,002.QZ,2a,58394.62014796,002,NA,NA,15076.1373639262,1,NA,25.8,11.692815396605036,62.520768406178284,221,Trøndelag,58,-,0,-,0
Vaula,002.SAZ,3a,18746.75478699,002,NA,NA,55.2323245733319,1,NA,0.3,11.998593945419268,62.647951142372655,222,Trøndelag,19,-,0,-,0
Borga,002.SZ,2a,29258.77848002,002,NA,NA,2631.01926532241,1,NA,9,12.011703095217067,62.59281012787489,223,Trøndelag,21,-,0,-,0
Hydda,002.T1Z,3a,38419.367385,002,NA,NA,1289.6771189698,1,NA,3.4,12.05043497840998,62.74373291853728,224,Trøndelag,37,-,0,-,0
